"","RandomSubset","NumberPlots","Response","Coefficient","Singular"
"Ran_Ab1","1",469,"ALLEVEN_LOGIT",0.161689172308741,FALSE
"Ran_Ab11","1",469,"ALLRICH_LOG",-0.0767880657246444,TRUE
"Ran_Ab12","1",469,"HERBEVEN_LOGIT",0.0462177383345925,TRUE
"Ran_Ab13","1",469,"HERBRICH_LOG",-0.113269445424519,FALSE
"Ran_Ab14","1",469,"TREEEVEN_LOGIT",0.171436141548697,FALSE
"Ran_Ab15","1",469,"TREERICH_LOG",-0.00650916310664803,FALSE
"Ran_Ab2","2",580,"ALLEVEN_LOGIT",0.112254771238011,TRUE
"Ran_Ab21","2",580,"ALLRICH_LOG",-0.0110926429638298,FALSE
"Ran_Ab22","2",580,"HERBEVEN_LOGIT",0.10645640954613,TRUE
"Ran_Ab23","2",580,"HERBRICH_LOG",0.00248665746492924,FALSE
"Ran_Ab24","2",580,"TREEEVEN_LOGIT",0.00813196906793648,TRUE
"Ran_Ab25","2",580,"TREERICH_LOG",-0.0471799153724775,TRUE
"Ran_Ab3","3",450,"ALLEVEN_LOGIT",0.14093631267996,FALSE
"Ran_Ab31","3",450,"ALLRICH_LOG",-0.0128699919437375,FALSE
"Ran_Ab32","3",450,"HERBEVEN_LOGIT",0.100931548219612,FALSE
"Ran_Ab33","3",450,"HERBRICH_LOG",-0.0221411072824719,FALSE
"Ran_Ab34","3",450,"TREEEVEN_LOGIT",0.201530710711735,TRUE
"Ran_Ab35","3",450,"TREERICH_LOG",-0.00447995886493507,TRUE
"Ran_Ab4","4",422,"ALLEVEN_LOGIT",0.117427283043437,TRUE
"Ran_Ab41","4",422,"ALLRICH_LOG",-0.0435155452512545,FALSE
"Ran_Ab42","4",422,"HERBEVEN_LOGIT",0.0530657096774002,FALSE
"Ran_Ab43","4",422,"HERBRICH_LOG",-0.0217234997626154,FALSE
"Ran_Ab44","4",422,"TREEEVEN_LOGIT",0.0609600246767809,TRUE
"Ran_Ab45","4",422,"TREERICH_LOG",-0.0756465811295359,FALSE
"Ran_Ab5","5",407,"ALLEVEN_LOGIT",0.124146961759699,FALSE
"Ran_Ab51","5",407,"ALLRICH_LOG",-0.0463933977268302,FALSE
"Ran_Ab52","5",407,"HERBEVEN_LOGIT",0.128643522756068,TRUE
"Ran_Ab53","5",407,"HERBRICH_LOG",-0.0431658219783201,FALSE
"Ran_Ab54","5",407,"TREEEVEN_LOGIT",0.0684767744419451,TRUE
"Ran_Ab55","5",407,"TREERICH_LOG",-0.0552824214110839,FALSE
"Ran_Ab6","6",637,"ALLEVEN_LOGIT",0.0866155050775247,FALSE
"Ran_Ab61","6",637,"ALLRICH_LOG",-0.03990850707569,FALSE
"Ran_Ab62","6",637,"HERBEVEN_LOGIT",0.114404754367134,FALSE
"Ran_Ab63","6",637,"HERBRICH_LOG",-0.0345805589410413,FALSE
"Ran_Ab64","6",637,"TREEEVEN_LOGIT",0.075634149152649,TRUE
"Ran_Ab65","6",637,"TREERICH_LOG",-0.0614462447994156,TRUE
"Ran_Ab7","7",528,"ALLEVEN_LOGIT",0.0694609511173339,FALSE
"Ran_Ab71","7",528,"ALLRICH_LOG",-0.0197127254179753,FALSE
"Ran_Ab72","7",528,"HERBEVEN_LOGIT",0.0837479802342949,FALSE
"Ran_Ab73","7",528,"HERBRICH_LOG",-0.0261121369561181,FALSE
"Ran_Ab74","7",528,"TREEEVEN_LOGIT",0.0567304469164789,TRUE
"Ran_Ab75","7",528,"TREERICH_LOG",-0.00395151831861416,TRUE
"Ran_Ab8","8",665,"ALLEVEN_LOGIT",0.117655638746084,FALSE
"Ran_Ab81","8",665,"ALLRICH_LOG",-0.0304143090214969,FALSE
"Ran_Ab82","8",665,"HERBEVEN_LOGIT",0.128035919671555,FALSE
"Ran_Ab83","8",665,"HERBRICH_LOG",-0.0378112386483094,FALSE
"Ran_Ab84","8",665,"TREEEVEN_LOGIT",0.088996208401275,TRUE
"Ran_Ab85","8",665,"TREERICH_LOG",-0.0271728659348312,FALSE
"Ran_Ab9","9",548,"ALLEVEN_LOGIT",0.0579356777766987,FALSE
"Ran_Ab91","9",548,"ALLRICH_LOG",-0.0193419614874751,FALSE
"Ran_Ab92","9",548,"HERBEVEN_LOGIT",0.0902597214639203,FALSE
"Ran_Ab93","9",548,"HERBRICH_LOG",-0.0108795329876033,FALSE
"Ran_Ab94","9",548,"TREEEVEN_LOGIT",-0.0179217539394357,TRUE
"Ran_Ab95","9",548,"TREERICH_LOG",-0.052680592791273,FALSE
"Ran_Ab10","10",379,"ALLEVEN_LOGIT",0.13314661273764,FALSE
"Ran_Ab101","10",379,"ALLRICH_LOG",-0.055140131026627,FALSE
"Ran_Ab102","10",379,"HERBEVEN_LOGIT",0.138687786829792,FALSE
"Ran_Ab103","10",379,"HERBRICH_LOG",-0.0542546638101353,FALSE
"Ran_Ab104","10",379,"TREEEVEN_LOGIT",0.0977027618088798,FALSE
"Ran_Ab105","10",379,"TREERICH_LOG",-0.102602477859213,FALSE
"Ran_Ab111","11",373,"ALLEVEN_LOGIT",0.0451424760039976,TRUE
"Ran_Ab112","11",373,"ALLRICH_LOG",-0.050476667978573,FALSE
"Ran_Ab113","11",373,"HERBEVEN_LOGIT",0.0555060818632675,FALSE
"Ran_Ab114","11",373,"HERBRICH_LOG",-0.0506380266586336,FALSE
"Ran_Ab115","11",373,"TREEEVEN_LOGIT",0.0847373319527483,FALSE
"Ran_Ab116","11",373,"TREERICH_LOG",-0.060382852482935,FALSE
"Ran_Ab121","12",341,"ALLEVEN_LOGIT",0.0653466714893463,TRUE
"Ran_Ab122","12",341,"ALLRICH_LOG",-0.0247025866038561,FALSE
"Ran_Ab123","12",341,"HERBEVEN_LOGIT",0.0248897481827289,FALSE
"Ran_Ab124","12",341,"HERBRICH_LOG",-0.0391265265800826,FALSE
"Ran_Ab125","12",341,"TREEEVEN_LOGIT",0.074742693910002,TRUE
"Ran_Ab126","12",341,"TREERICH_LOG",0.0164059388364867,TRUE
"Ran_Ab131","13",367,"ALLEVEN_LOGIT",0.0656013735210998,FALSE
"Ran_Ab132","13",367,"ALLRICH_LOG",-0.0344556350400715,FALSE
"Ran_Ab133","13",367,"HERBEVEN_LOGIT",0.0778919307986217,TRUE
"Ran_Ab134","13",367,"HERBRICH_LOG",-0.0485786447867976,TRUE
"Ran_Ab135","13",367,"TREEEVEN_LOGIT",0.0186710740123412,FALSE
"Ran_Ab136","13",367,"TREERICH_LOG",-0.0413050317613684,FALSE
"Ran_Ab141","14",407,"ALLEVEN_LOGIT",0.117045544972414,TRUE
"Ran_Ab142","14",407,"ALLRICH_LOG",-0.0482042498868045,FALSE
"Ran_Ab143","14",407,"HERBEVEN_LOGIT",0.167909438380552,FALSE
"Ran_Ab144","14",407,"HERBRICH_LOG",-0.0666190708915275,FALSE
"Ran_Ab145","14",407,"TREEEVEN_LOGIT",0.0525134803537823,TRUE
"Ran_Ab146","14",407,"TREERICH_LOG",-0.0151793127655663,TRUE
"Ran_Ab151","15",499,"ALLEVEN_LOGIT",0.110816913355815,FALSE
"Ran_Ab152","15",499,"ALLRICH_LOG",-0.0518769194909529,FALSE
"Ran_Ab153","15",499,"HERBEVEN_LOGIT",0.165697914073482,TRUE
"Ran_Ab154","15",499,"HERBRICH_LOG",-0.0664247766041384,FALSE
"Ran_Ab155","15",499,"TREEEVEN_LOGIT",0.100762591235329,TRUE
"Ran_Ab156","15",499,"TREERICH_LOG",-0.00996020139803685,TRUE
"Ran_Ab16","16",289,"ALLEVEN_LOGIT",0.12108655078934,FALSE
"Ran_Ab161","16",289,"ALLRICH_LOG",-0.0276863312318456,FALSE
"Ran_Ab162","16",289,"HERBEVEN_LOGIT",0.185169182915219,FALSE
"Ran_Ab163","16",289,"HERBRICH_LOG",-0.0417606867530631,TRUE
"Ran_Ab164","16",289,"TREEEVEN_LOGIT",0.0296401333488197,TRUE
"Ran_Ab165","16",289,"TREERICH_LOG",-0.0426120855871213,FALSE
"Ran_Ab17","17",351,"ALLEVEN_LOGIT",0.0698952588558736,FALSE
"Ran_Ab171","17",351,"ALLRICH_LOG",-0.0256126532264218,FALSE
"Ran_Ab172","17",351,"HERBEVEN_LOGIT",0.119694314318768,TRUE
"Ran_Ab173","17",351,"HERBRICH_LOG",-0.0310171258723941,FALSE
"Ran_Ab174","17",351,"TREEEVEN_LOGIT",0.0851429528010071,TRUE
"Ran_Ab175","17",351,"TREERICH_LOG",-0.023324881734574,FALSE
"Ran_Ab18","18",419,"ALLEVEN_LOGIT",0.0921218298832892,TRUE
"Ran_Ab181","18",419,"ALLRICH_LOG",-0.00351986394249271,FALSE
"Ran_Ab182","18",419,"HERBEVEN_LOGIT",0.0509195060203812,FALSE
"Ran_Ab183","18",419,"HERBRICH_LOG",0.00566881709563317,FALSE
"Ran_Ab184","18",419,"TREEEVEN_LOGIT",0.18795901315634,TRUE
"Ran_Ab185","18",419,"TREERICH_LOG",-0.0495477345151396,FALSE
"Ran_Ab19","19",347,"ALLEVEN_LOGIT",0.12413958580123,TRUE
"Ran_Ab191","19",347,"ALLRICH_LOG",-0.0343360689720452,FALSE
"Ran_Ab192","19",347,"HERBEVEN_LOGIT",0.0732345893644021,TRUE
"Ran_Ab193","19",347,"HERBRICH_LOG",-0.0339388866426005,FALSE
"Ran_Ab194","19",347,"TREEEVEN_LOGIT",0.0277411321657707,TRUE
"Ran_Ab195","19",347,"TREERICH_LOG",-0.0324973060757756,TRUE
"Ran_Ab20","20",423,"ALLEVEN_LOGIT",0.099355663612862,FALSE
"Ran_Ab201","20",423,"ALLRICH_LOG",-0.0175899038988254,FALSE
"Ran_Ab202","20",423,"HERBEVEN_LOGIT",0.0989608343264112,FALSE
"Ran_Ab203","20",423,"HERBRICH_LOG",-0.00615728753844393,FALSE
"Ran_Ab204","20",423,"TREEEVEN_LOGIT",-0.000147782444075048,TRUE
"Ran_Ab205","20",423,"TREERICH_LOG",-0.0452960950714072,FALSE
"Ran_Ab211","21",440,"ALLEVEN_LOGIT",0.117493815471363,FALSE
