"","RandomSubset","NumberPlots","Response","Coefficient","Singular"
"Ran_Ab1","1",190,"ALLEVEN_LOGIT",0.0951007520507252,TRUE
"Ran_Ab11","1",190,"ALLRICH_LOG",-0.0282887724932891,TRUE
"Ran_Ab12","1",190,"HERBEVEN_LOGIT",0.0988633552720578,TRUE
"Ran_Ab13","1",190,"HERBRICH_LOG",-0.0392456330467756,TRUE
"Ran_Ab14","1",190,"TREEEVEN_LOGIT",0.0247988946867765,TRUE
"Ran_Ab15","1",190,"TREERICH_LOG",-0.0813839438564765,TRUE
"Ran_Ab2","2",196,"ALLEVEN_LOGIT",0.137273325200303,FALSE
"Ran_Ab21","2",196,"ALLRICH_LOG",0.00944930760593,TRUE
"Ran_Ab22","2",196,"HERBEVEN_LOGIT",0.0906513482917922,TRUE
"Ran_Ab23","2",196,"HERBRICH_LOG",0.00972796697719424,TRUE
"Ran_Ab24","2",196,"TREEEVEN_LOGIT",0.103786109123487,TRUE
"Ran_Ab25","2",196,"TREERICH_LOG",-0.0481410032671297,TRUE
"Ran_Ab3","3",300,"ALLEVEN_LOGIT",0.121981581463202,FALSE
"Ran_Ab31","3",300,"ALLRICH_LOG",-0.0998896921513355,TRUE
"Ran_Ab32","3",300,"HERBEVEN_LOGIT",0.0743607742939213,TRUE
"Ran_Ab33","3",300,"HERBRICH_LOG",-0.0956634865764464,FALSE
"Ran_Ab34","3",300,"TREEEVEN_LOGIT",0.0287624382178956,TRUE
"Ran_Ab35","3",300,"TREERICH_LOG",-0.0857023300960535,FALSE
"Ran_Ab4","4",249,"ALLEVEN_LOGIT",0.0804840986291297,TRUE
"Ran_Ab41","4",249,"ALLRICH_LOG",-0.0190395006419963,TRUE
"Ran_Ab42","4",249,"HERBEVEN_LOGIT",0.062321357895239,FALSE
"Ran_Ab43","4",249,"HERBRICH_LOG",-0.0295314003215433,TRUE
"Ran_Ab44","4",249,"TREEEVEN_LOGIT",0.0539504775050832,TRUE
"Ran_Ab45","4",249,"TREERICH_LOG",-0.0103545245982377,TRUE
"Ran_Ab5","5",316,"ALLEVEN_LOGIT",0.124722175750533,FALSE
"Ran_Ab51","5",316,"ALLRICH_LOG",-0.0446459169184771,TRUE
"Ran_Ab52","5",316,"HERBEVEN_LOGIT",0.152093268007353,TRUE
"Ran_Ab53","5",316,"HERBRICH_LOG",-0.0652244505975147,TRUE
"Ran_Ab54","5",316,"TREEEVEN_LOGIT",0.145147599468921,FALSE
"Ran_Ab55","5",316,"TREERICH_LOG",-0.0565006885488118,TRUE
"Ran_Ab6","6",291,"ALLEVEN_LOGIT",0.0847005378440575,TRUE
