"","RandomSubset","NumberPlots","Response","Coefficient","Singular"
"Ran_Ab1","1",380,"ALLEVEN_LOGIT",0.10253821285284,TRUE
"Ran_Ab11","1",380,"ALLRICH_LOG",-0.0525192737111352,FALSE
"Ran_Ab12","1",380,"HERBEVEN_LOGIT",0.120582953183477,FALSE
"Ran_Ab13","1",380,"HERBRICH_LOG",-0.0606206008788304,FALSE
"Ran_Ab14","1",380,"TREEEVEN_LOGIT",0.0412920868094519,TRUE
"Ran_Ab15","1",380,"TREERICH_LOG",-0.0732878876315329,FALSE
"Ran_Ab2","2",361,"ALLEVEN_LOGIT",0.0928777026622746,FALSE
"Ran_Ab21","2",361,"ALLRICH_LOG",-0.0179893970561996,FALSE
"Ran_Ab22","2",361,"HERBEVEN_LOGIT",0.154000909316995,FALSE
"Ran_Ab23","2",361,"HERBRICH_LOG",-0.0248394226439955,FALSE
"Ran_Ab24","2",361,"TREEEVEN_LOGIT",0.0823432187015233,TRUE
"Ran_Ab25","2",361,"TREERICH_LOG",-0.00683122186590753,FALSE
"Ran_Ab3","3",298,"ALLEVEN_LOGIT",0.0989720337925226,TRUE
"Ran_Ab31","3",298,"ALLRICH_LOG",-0.045919519184137,TRUE
"Ran_Ab32","3",298,"HERBEVEN_LOGIT",0.068838052702093,FALSE
"Ran_Ab33","3",298,"HERBRICH_LOG",-0.0597645746842558,TRUE
"Ran_Ab34","3",298,"TREEEVEN_LOGIT",0.117000452080732,TRUE
"Ran_Ab35","3",298,"TREERICH_LOG",-0.0670821565618622,TRUE
"Ran_Ab4","4",354,"ALLEVEN_LOGIT",0.137449347458442,FALSE
"Ran_Ab41","4",354,"ALLRICH_LOG",0.00409018520260707,TRUE
"Ran_Ab42","4",354,"HERBEVEN_LOGIT",0.149898952432125,FALSE
"Ran_Ab43","4",354,"HERBRICH_LOG",-0.00730192077604213,FALSE
"Ran_Ab44","4",354,"TREEEVEN_LOGIT",0.0532009672983939,FALSE
"Ran_Ab45","4",354,"TREERICH_LOG",0.0227965128981874,TRUE
"Ran_Ab5","5",390,"ALLEVEN_LOGIT",0.0841290383658319,TRUE
"Ran_Ab51","5",390,"ALLRICH_LOG",0.00724513622073487,FALSE
"Ran_Ab52","5",390,"HERBEVEN_LOGIT",0.116581931200411,FALSE
"Ran_Ab53","5",390,"HERBRICH_LOG",0.0177509130365944,FALSE
"Ran_Ab54","5",390,"TREEEVEN_LOGIT",0.139843112476349,FALSE
"Ran_Ab55","5",390,"TREERICH_LOG",-0.0140310612931202,FALSE
"Ran_Ab6","6",241,"ALLEVEN_LOGIT",0.0620249231257235,FALSE
"Ran_Ab61","6",241,"ALLRICH_LOG",-0.0751210217863152,FALSE
"Ran_Ab62","6",241,"HERBEVEN_LOGIT",-0.00949429591023615,TRUE
"Ran_Ab63","6",241,"HERBRICH_LOG",-0.0909199917293776,FALSE
