"","RandomSubset","NumberPlots","Response","Coefficient","Singular"
"Ran_Ab1","1",1221,"ALLEVEN_LOGIT",0.104208967277489,FALSE
"Ran_Ab11","1",1221,"ALLRICH_LOG",-0.0347910474819159,FALSE
"Ran_Ab12","1",1221,"HERBEVEN_LOGIT",0.111160825636832,FALSE
"Ran_Ab13","1",1221,"HERBRICH_LOG",-0.0309216594248865,FALSE
"Ran_Ab14","1",1221,"TREEEVEN_LOGIT",0.106419592961223,FALSE
"Ran_Ab15","1",1221,"TREERICH_LOG",-0.050876334701887,TRUE
"Ran_Ab2","2",1621,"ALLEVEN_LOGIT",0.0861722908913883,FALSE
"Ran_Ab21","2",1621,"ALLRICH_LOG",-0.0108944341743315,FALSE
"Ran_Ab22","2",1621,"HERBEVEN_LOGIT",0.100443182685835,FALSE
"Ran_Ab23","2",1621,"HERBRICH_LOG",-0.00950740824856717,FALSE
"Ran_Ab24","2",1621,"TREEEVEN_LOGIT",0.0500670977507185,TRUE
"Ran_Ab25","2",1621,"TREERICH_LOG",-0.0307133159440006,FALSE
"Ran_Ab3","3",1479,"ALLEVEN_LOGIT",0.0463464843372784,FALSE
"Ran_Ab31","3",1479,"ALLRICH_LOG",-0.0310284306115287,FALSE
"Ran_Ab32","3",1479,"HERBEVEN_LOGIT",0.0503369286464645,FALSE
"Ran_Ab33","3",1479,"HERBRICH_LOG",-0.0404850102797089,FALSE
"Ran_Ab34","3",1479,"TREEEVEN_LOGIT",0.0307068519272983,FALSE
"Ran_Ab35","3",1479,"TREERICH_LOG",-0.0228842463336669,TRUE
"Ran_Ab4","4",1525,"ALLEVEN_LOGIT",0.0923297341397689,FALSE
"Ran_Ab41","4",1525,"ALLRICH_LOG",-0.0190190199771361,FALSE
"Ran_Ab42","4",1525,"HERBEVEN_LOGIT",0.092398544828729,FALSE
"Ran_Ab43","4",1525,"HERBRICH_LOG",-0.0182260110653345,FALSE
"Ran_Ab44","4",1525,"TREEEVEN_LOGIT",0.0741363795883534,TRUE
"Ran_Ab45","4",1525,"TREERICH_LOG",-0.0206511526076429,FALSE
"Ran_Ab5","5",1276,"ALLEVEN_LOGIT",0.0791926916100952,FALSE
"Ran_Ab51","5",1276,"ALLRICH_LOG",-0.0264010527152674,FALSE
"Ran_Ab52","5",1276,"HERBEVEN_LOGIT",0.0652745371459828,FALSE
"Ran_Ab53","5",1276,"HERBRICH_LOG",-0.0207624499859172,FALSE
"Ran_Ab54","5",1276,"TREEEVEN_LOGIT",0.0525443835297326,FALSE
"Ran_Ab55","5",1276,"TREERICH_LOG",-0.0779893912520001,FALSE
"Ran_Ab6","6",1349,"ALLEVEN_LOGIT",0.0849752333971358,FALSE
"Ran_Ab61","6",1349,"ALLRICH_LOG",-0.00422908402118896,FALSE
"Ran_Ab62","6",1349,"HERBEVEN_LOGIT",0.109557922923691,FALSE
"Ran_Ab63","6",1349,"HERBRICH_LOG",0.00783076475918042,FALSE
"Ran_Ab64","6",1349,"TREEEVEN_LOGIT",0.104965848918131,FALSE
"Ran_Ab65","6",1349,"TREERICH_LOG",-0.0480563434999903,FALSE
"Ran_Ab7","7",1172,"ALLEVEN_LOGIT",0.0843549869641626,FALSE
"Ran_Ab71","7",1172,"ALLRICH_LOG",0.0066983749541563,FALSE
"Ran_Ab72","7",1172,"HERBEVEN_LOGIT",-0.00677331005382526,TRUE
"Ran_Ab73","7",1172,"HERBRICH_LOG",0.0174327772799915,FALSE
"Ran_Ab74","7",1172,"TREEEVEN_LOGIT",0.032219625254146,FALSE
"Ran_Ab75","7",1172,"TREERICH_LOG",-0.0180383799224463,FALSE
"Ran_Ab8","8",1318,"ALLEVEN_LOGIT",0.0828842298905329,FALSE
"Ran_Ab81","8",1318,"ALLRICH_LOG",-0.0173479003988016,FALSE
"Ran_Ab82","8",1318,"HERBEVEN_LOGIT",0.0707448810145272,FALSE
"Ran_Ab83","8",1318,"HERBRICH_LOG",-0.0181452433338098,FALSE
"Ran_Ab84","8",1318,"TREEEVEN_LOGIT",0.0403566597747488,FALSE
"Ran_Ab85","8",1318,"TREERICH_LOG",-0.0219700653925341,FALSE
"Ran_Ab9","9",1177,"ALLEVEN_LOGIT",0.111703791067313,FALSE
"Ran_Ab91","9",1177,"ALLRICH_LOG",-0.0377836935562655,FALSE
"Ran_Ab92","9",1177,"HERBEVEN_LOGIT",0.0470125963966131,FALSE
"Ran_Ab93","9",1177,"HERBRICH_LOG",-0.0584143589590463,FALSE
"Ran_Ab94","9",1177,"TREEEVEN_LOGIT",0.125953624932199,FALSE
"Ran_Ab95","9",1177,"TREERICH_LOG",0.00236002385044131,TRUE
"Ran_Ab10","10",1349,"ALLEVEN_LOGIT",0.129997273725807,FALSE
"Ran_Ab101","10",1349,"ALLRICH_LOG",-0.0193139667950885,FALSE
"Ran_Ab102","10",1349,"HERBEVEN_LOGIT",0.129646913757341,FALSE
"Ran_Ab103","10",1349,"HERBRICH_LOG",-0.011634420628355,FALSE
"Ran_Ab104","10",1349,"TREEEVEN_LOGIT",0.118927496253452,FALSE
"Ran_Ab105","10",1349,"TREERICH_LOG",-0.0431743331944751,TRUE
"Ran_Ab111","11",1191,"ALLEVEN_LOGIT",0.0441563259290312,FALSE
"Ran_Ab112","11",1191,"ALLRICH_LOG",-0.0373236083890015,FALSE
"Ran_Ab113","11",1191,"HERBEVEN_LOGIT",0.0177948579123408,FALSE
"Ran_Ab114","11",1191,"HERBRICH_LOG",-0.0416279233025146,FALSE
"Ran_Ab115","11",1191,"TREEEVEN_LOGIT",0.0625798965371917,TRUE
"Ran_Ab116","11",1191,"TREERICH_LOG",-0.0657503512210265,FALSE
"Ran_Ab121","12",1331,"ALLEVEN_LOGIT",0.0742979873641875,FALSE
"Ran_Ab122","12",1331,"ALLRICH_LOG",-0.0314718615206224,FALSE
"Ran_Ab123","12",1331,"HERBEVEN_LOGIT",0.0628350493082748,FALSE
"Ran_Ab124","12",1331,"HERBRICH_LOG",-0.0284435821384141,FALSE
"Ran_Ab125","12",1331,"TREEEVEN_LOGIT",0.0995197097842214,FALSE
"Ran_Ab126","12",1331,"TREERICH_LOG",-0.044397516165561,FALSE
"Ran_Ab131","13",1165,"ALLEVEN_LOGIT",0.0813478637377853,FALSE
"Ran_Ab132","13",1165,"ALLRICH_LOG",-0.0425503213947495,FALSE
"Ran_Ab133","13",1165,"HERBEVEN_LOGIT",0.079977691688101,FALSE
"Ran_Ab134","13",1165,"HERBRICH_LOG",-0.0418035118143535,FALSE
"Ran_Ab135","13",1165,"TREEEVEN_LOGIT",0.0359479490269599,FALSE
"Ran_Ab136","13",1165,"TREERICH_LOG",-0.0549270995853424,FALSE
"Ran_Ab141","14",1495,"ALLEVEN_LOGIT",0.0962232671864984,FALSE
"Ran_Ab142","14",1495,"ALLRICH_LOG",-0.0252660991545506,FALSE
"Ran_Ab143","14",1495,"HERBEVEN_LOGIT",0.0871706492444135,FALSE
"Ran_Ab144","14",1495,"HERBRICH_LOG",-0.0168367935531501,FALSE
"Ran_Ab145","14",1495,"TREEEVEN_LOGIT",0.0760960133722827,FALSE
"Ran_Ab146","14",1495,"TREERICH_LOG",-0.0548134930477003,FALSE
"Ran_Ab151","15",1515,"ALLEVEN_LOGIT",0.0968523772988803,FALSE
"Ran_Ab152","15",1515,"ALLRICH_LOG",-0.00777371088377331,FALSE
"Ran_Ab153","15",1515,"HERBEVEN_LOGIT",0.0860371699626059,FALSE
"Ran_Ab154","15",1515,"HERBRICH_LOG",-0.0124565346960273,FALSE
"Ran_Ab155","15",1515,"TREEEVEN_LOGIT",0.0782316001759492,FALSE
"Ran_Ab156","15",1515,"TREERICH_LOG",0.00195627527036089,FALSE
"Ran_Ab16","16",785,"ALLEVEN_LOGIT",0.0938289259646933,FALSE
"Ran_Ab161","16",785,"ALLRICH_LOG",-0.017201026239158,FALSE
"Ran_Ab162","16",785,"HERBEVEN_LOGIT",0.052150594073956,FALSE
"Ran_Ab163","16",785,"HERBRICH_LOG",-0.0234281732905565,FALSE
"Ran_Ab164","16",785,"TREEEVEN_LOGIT",0.0600392440673814,FALSE
"Ran_Ab165","16",785,"TREERICH_LOG",0.0064243798701094,FALSE
"Ran_Ab17","17",865,"ALLEVEN_LOGIT",0.109207530469005,FALSE
"Ran_Ab171","17",865,"ALLRICH_LOG",-0.0102963119000205,FALSE
"Ran_Ab172","17",865,"HERBEVEN_LOGIT",0.0959178328624704,FALSE
"Ran_Ab173","17",865,"HERBRICH_LOG",-0.0139706510380897,FALSE
"Ran_Ab174","17",865,"TREEEVEN_LOGIT",-0.014874991756098,TRUE
"Ran_Ab175","17",865,"TREERICH_LOG",0.00719143991882212,FALSE
"Ran_Ab18","18",1200,"ALLEVEN_LOGIT",0.122134983867167,FALSE
"Ran_Ab181","18",1200,"ALLRICH_LOG",-0.0185340823975711,FALSE
"Ran_Ab182","18",1200,"HERBEVEN_LOGIT",0.120492734563926,FALSE
"Ran_Ab183","18",1200,"HERBRICH_LOG",-0.02531544815206,FALSE
"Ran_Ab184","18",1200,"TREEEVEN_LOGIT",0.11360015917596,FALSE
"Ran_Ab185","18",1200,"TREERICH_LOG",-0.0133505025468484,TRUE
"Ran_Ab19","19",1074,"ALLEVEN_LOGIT",0.0663970207793184,FALSE
"Ran_Ab191","19",1074,"ALLRICH_LOG",-0.0256511241910577,FALSE
"Ran_Ab192","19",1074,"HERBEVEN_LOGIT",0.033440823761644,FALSE
"Ran_Ab193","19",1074,"HERBRICH_LOG",-0.0121952479361609,FALSE
"Ran_Ab194","19",1074,"TREEEVEN_LOGIT",0.0692361915208205,FALSE
"Ran_Ab195","19",1074,"TREERICH_LOG",-0.0673931833841266,FALSE
"Ran_Ab20","20",1438,"ALLEVEN_LOGIT",0.117512721707743,FALSE
"Ran_Ab201","20",1438,"ALLRICH_LOG",-0.0169133361383828,FALSE
"Ran_Ab202","20",1438,"HERBEVEN_LOGIT",0.123501602444133,FALSE
"Ran_Ab203","20",1438,"HERBRICH_LOG",-0.0193595244748633,FALSE
"Ran_Ab204","20",1438,"TREEEVEN_LOGIT",0.0486194500163414,FALSE
"Ran_Ab205","20",1438,"TREERICH_LOG",-0.00981328910997994,FALSE
"Ran_Ab211","21",1302,"ALLEVEN_LOGIT",0.0752268066970729,FALSE
"Ran_Ab212","21",1302,"ALLRICH_LOG",0.0058404990607756,FALSE
"Ran_Ab213","21",1302,"HERBEVEN_LOGIT",0.0792125293875979,FALSE
"Ran_Ab214","21",1302,"HERBRICH_LOG",0.0183259692641681,FALSE
"Ran_Ab215","21",1302,"TREEEVEN_LOGIT",0.0396607398365984,FALSE
"Ran_Ab216","21",1302,"TREERICH_LOG",-0.0321160896949154,FALSE
"Ran_Ab221","22",1098,"ALLEVEN_LOGIT",0.103111993302443,FALSE
"Ran_Ab222","22",1098,"ALLRICH_LOG",-0.0270664385316531,FALSE
"Ran_Ab223","22",1098,"HERBEVEN_LOGIT",0.112093016813256,FALSE
"Ran_Ab224","22",1098,"HERBRICH_LOG",-0.0311208735446384,FALSE
"Ran_Ab225","22",1098,"TREEEVEN_LOGIT",0.0325716476188035,TRUE
"Ran_Ab226","22",1098,"TREERICH_LOG",-0.0278931732937475,FALSE
"Ran_Ab231","23",1058,"ALLEVEN_LOGIT",0.155805724602075,FALSE
"Ran_Ab232","23",1058,"ALLRICH_LOG",-0.00411541698235662,FALSE
"Ran_Ab233","23",1058,"HERBEVEN_LOGIT",0.132554054776613,FALSE
"Ran_Ab234","23",1058,"HERBRICH_LOG",-0.00336821158976357,FALSE
"Ran_Ab235","23",1058,"TREEEVEN_LOGIT",0.0761239188077768,FALSE
"Ran_Ab236","23",1058,"TREERICH_LOG",-0.00381483415774153,FALSE
"Ran_Ab241","24",1331,"ALLEVEN_LOGIT",0.0863130779756749,FALSE
"Ran_Ab242","24",1331,"ALLRICH_LOG",-0.0352404257224673,FALSE
"Ran_Ab243","24",1331,"HERBEVEN_LOGIT",0.0779953720475689,TRUE
"Ran_Ab244","24",1331,"HERBRICH_LOG",-0.0670706222839885,FALSE
"Ran_Ab245","24",1331,"TREEEVEN_LOGIT",0.0711238792791669,TRUE
"Ran_Ab246","24",1331,"TREERICH_LOG",0.0102592552907332,FALSE
"Ran_Ab251","25",1095,"ALLEVEN_LOGIT",0.113461230002169,FALSE
"Ran_Ab252","25",1095,"ALLRICH_LOG",-0.0316442432739246,FALSE
"Ran_Ab253","25",1095,"HERBEVEN_LOGIT",0.117425977733865,FALSE
"Ran_Ab254","25",1095,"HERBRICH_LOG",-0.0405338712807814,FALSE
"Ran_Ab255","25",1095,"TREEEVEN_LOGIT",0.086876351758104,TRUE
"Ran_Ab256","25",1095,"TREERICH_LOG",-0.00176125644708888,FALSE
"Ran_Ab26","26",948,"ALLEVEN_LOGIT",0.0829537401225243,FALSE
"Ran_Ab261","26",948,"ALLRICH_LOG",-0.0295414917861096,FALSE
"Ran_Ab262","26",948,"HERBEVEN_LOGIT",0.0513549987714837,FALSE
"Ran_Ab263","26",948,"HERBRICH_LOG",-0.0305755720531259,FALSE
"Ran_Ab264","26",948,"TREEEVEN_LOGIT",0.0149610564227223,TRUE
"Ran_Ab265","26",948,"TREERICH_LOG",-0.0396140944275466,TRUE
"Ran_Ab27","27",1486,"ALLEVEN_LOGIT",0.0657671299697805,FALSE
"Ran_Ab271","27",1486,"ALLRICH_LOG",-0.0157764553691269,FALSE
"Ran_Ab272","27",1486,"HERBEVEN_LOGIT",0.0454494973312922,FALSE
"Ran_Ab273","27",1486,"HERBRICH_LOG",-0.0146763010930761,FALSE
"Ran_Ab274","27",1486,"TREEEVEN_LOGIT",0.103886985517162,TRUE
"Ran_Ab275","27",1486,"TREERICH_LOG",-0.0263782514289414,FALSE
"Ran_Ab28","28",1213,"ALLEVEN_LOGIT",0.0757654841027029,FALSE
"Ran_Ab281","28",1213,"ALLRICH_LOG",-0.0218016006726825,FALSE
"Ran_Ab282","28",1213,"HERBEVEN_LOGIT",0.0881024598796805,FALSE
"Ran_Ab283","28",1213,"HERBRICH_LOG",-0.0324688727447237,FALSE
"Ran_Ab284","28",1213,"TREEEVEN_LOGIT",0.0187431126465581,FALSE
"Ran_Ab285","28",1213,"TREERICH_LOG",-0.02593759538822,FALSE
"Ran_Ab29","29",1214,"ALLEVEN_LOGIT",0.0901571623079392,FALSE
"Ran_Ab291","29",1214,"ALLRICH_LOG",-0.02283556234804,FALSE
"Ran_Ab292","29",1214,"HERBEVEN_LOGIT",0.00829124483697044,FALSE
"Ran_Ab293","29",1214,"HERBRICH_LOG",-0.0227696094795613,FALSE
"Ran_Ab294","29",1214,"TREEEVEN_LOGIT",0.0775771734891769,FALSE
"Ran_Ab295","29",1214,"TREERICH_LOG",-0.0244330182695964,FALSE
"Ran_Ab30","30",1490,"ALLEVEN_LOGIT",0.103343901944384,FALSE
"Ran_Ab301","30",1490,"ALLRICH_LOG",-0.0228981687549867,FALSE
"Ran_Ab302","30",1490,"HERBEVEN_LOGIT",0.102027214039619,FALSE
"Ran_Ab303","30",1490,"HERBRICH_LOG",-0.0304867370509102,FALSE
"Ran_Ab304","30",1490,"TREEEVEN_LOGIT",0.0738419142862156,FALSE
"Ran_Ab305","30",1490,"TREERICH_LOG",0.00145593692303582,TRUE
