"","RandomSubset","NumberPlots","Response","Coefficient","Singular"
"Ran_Ab1","1",483,"ALLEVEN_LOGIT",0.0902332496314783,TRUE
"Ran_Ab11","1",483,"ALLRICH_LOG",-0.0151597810741318,FALSE
"Ran_Ab12","1",483,"HERBEVEN_LOGIT",0.112564000607088,TRUE
"Ran_Ab13","1",483,"HERBRICH_LOG",-0.0145123107816246,FALSE
"Ran_Ab14","1",483,"TREEEVEN_LOGIT",0.0760672799405195,TRUE
"Ran_Ab15","1",483,"TREERICH_LOG",-0.017280629708448,FALSE
"Ran_Ab2","2",524,"ALLEVEN_LOGIT",0.0958825361150857,FALSE
"Ran_Ab21","2",524,"ALLRICH_LOG",-0.0319436907413501,FALSE
"Ran_Ab22","2",524,"HERBEVEN_LOGIT",0.12447378036188,FALSE
"Ran_Ab23","2",524,"HERBRICH_LOG",-0.0284125180759281,FALSE
"Ran_Ab24","2",524,"TREEEVEN_LOGIT",0.0790053682317355,FALSE
"Ran_Ab25","2",524,"TREERICH_LOG",-0.0458736010849092,FALSE
"Ran_Ab3","3",743,"ALLEVEN_LOGIT",0.114764494273917,FALSE
"Ran_Ab31","3",743,"ALLRICH_LOG",-0.0335513774625316,FALSE
"Ran_Ab32","3",743,"HERBEVEN_LOGIT",0.114999799484122,FALSE
"Ran_Ab33","3",743,"HERBRICH_LOG",-0.0293948470015138,FALSE
"Ran_Ab34","3",743,"TREEEVEN_LOGIT",0.0813003727871677,FALSE
"Ran_Ab35","3",743,"TREERICH_LOG",-0.0433918922525793,FALSE
"Ran_Ab4","4",565,"ALLEVEN_LOGIT",0.0778651003039308,FALSE
"Ran_Ab41","4",565,"ALLRICH_LOG",-0.0331816406202833,FALSE
"Ran_Ab42","4",565,"HERBEVEN_LOGIT",0.117484276060139,FALSE
"Ran_Ab43","4",565,"HERBRICH_LOG",-0.0416070285563253,FALSE
"Ran_Ab44","4",565,"TREEEVEN_LOGIT",0.0874236047810417,TRUE
"Ran_Ab45","4",565,"TREERICH_LOG",-0.028007473938249,FALSE
"Ran_Ab5","5",563,"ALLEVEN_LOGIT",0.0926114474170174,TRUE
"Ran_Ab51","5",563,"ALLRICH_LOG",-0.0453890079521789,FALSE
"Ran_Ab52","5",563,"HERBEVEN_LOGIT",0.149250074425541,FALSE
"Ran_Ab53","5",563,"HERBRICH_LOG",-0.0468126437196892,FALSE
"Ran_Ab54","5",563,"TREEEVEN_LOGIT",0.171032005347263,FALSE
"Ran_Ab55","5",563,"TREERICH_LOG",-0.0472384000168469,FALSE
"Ran_Ab6","6",512,"ALLEVEN_LOGIT",0.0922644351856066,TRUE
"Ran_Ab61","6",512,"ALLRICH_LOG",-0.0103812048715874,TRUE
"Ran_Ab62","6",512,"HERBEVEN_LOGIT",0.0831141269814687,TRUE
"Ran_Ab63","6",512,"HERBRICH_LOG",-0.0128070843781247,TRUE
"Ran_Ab64","6",512,"TREEEVEN_LOGIT",-0.0275190961805202,TRUE
"Ran_Ab65","6",512,"TREERICH_LOG",-0.0127512703472714,FALSE
"Ran_Ab7","7",564,"ALLEVEN_LOGIT",0.131094666133301,FALSE
"Ran_Ab71","7",564,"ALLRICH_LOG",-0.0410046613551646,FALSE
"Ran_Ab72","7",564,"HERBEVEN_LOGIT",0.148985140193776,TRUE
"Ran_Ab73","7",564,"HERBRICH_LOG",-0.0554510740480329,FALSE
"Ran_Ab74","7",564,"TREEEVEN_LOGIT",0.122904549427017,FALSE
"Ran_Ab75","7",564,"TREERICH_LOG",-0.0228278848809743,FALSE
"Ran_Ab8","8",561,"ALLEVEN_LOGIT",0.0886891871801664,FALSE
"Ran_Ab81","8",561,"ALLRICH_LOG",-0.023576348682869,FALSE
"Ran_Ab82","8",561,"HERBEVEN_LOGIT",0.111789160699781,FALSE
"Ran_Ab83","8",561,"HERBRICH_LOG",-0.0151676470943342,TRUE
"Ran_Ab84","8",561,"TREEEVEN_LOGIT",0.106995214348882,FALSE
"Ran_Ab85","8",561,"TREERICH_LOG",-0.0355175064298335,FALSE
"Ran_Ab9","9",491,"ALLEVEN_LOGIT",0.107144711003133,FALSE
"Ran_Ab91","9",491,"ALLRICH_LOG",-0.0292240290489707,FALSE
"Ran_Ab92","9",491,"HERBEVEN_LOGIT",0.126372700454204,FALSE
"Ran_Ab93","9",491,"HERBRICH_LOG",-0.0272786575322697,FALSE
"Ran_Ab94","9",491,"TREEEVEN_LOGIT",0.102551428851349,TRUE
"Ran_Ab95","9",491,"TREERICH_LOG",-0.0337118634305846,FALSE
"Ran_Ab10","10",275,"ALLEVEN_LOGIT",0.0547130829914696,TRUE
"Ran_Ab101","10",275,"ALLRICH_LOG",-0.0288344184751859,FALSE
"Ran_Ab102","10",275,"HERBEVEN_LOGIT",0.0239208360282549,FALSE
"Ran_Ab103","10",275,"HERBRICH_LOG",-0.0165979358929734,FALSE
"Ran_Ab104","10",275,"TREEEVEN_LOGIT",0.022558760330077,TRUE
"Ran_Ab105","10",275,"TREERICH_LOG",-0.0350987241578197,FALSE
"Ran_Ab111","11",543,"ALLEVEN_LOGIT",0.069029956747833,TRUE
"Ran_Ab112","11",543,"ALLRICH_LOG",-0.020224186242383,TRUE
"Ran_Ab113","11",543,"HERBEVEN_LOGIT",0.0679898212469035,FALSE
"Ran_Ab114","11",543,"HERBRICH_LOG",-0.0162210932827957,FALSE
"Ran_Ab115","11",543,"TREEEVEN_LOGIT",0.0734704498684043,FALSE
"Ran_Ab116","11",543,"TREERICH_LOG",-0.0345297591999153,TRUE
"Ran_Ab121","12",593,"ALLEVEN_LOGIT",0.0810277631053543,TRUE
"Ran_Ab122","12",593,"ALLRICH_LOG",-0.0495008676607864,FALSE
"Ran_Ab123","12",593,"HERBEVEN_LOGIT",0.043304560394089,FALSE
"Ran_Ab124","12",593,"HERBRICH_LOG",-0.0514858959716445,FALSE
"Ran_Ab125","12",593,"TREEEVEN_LOGIT",0.144650461624824,TRUE
"Ran_Ab126","12",593,"TREERICH_LOG",-0.0640297453574383,TRUE
"Ran_Ab131","13",439,"ALLEVEN_LOGIT",0.0931754852328063,FALSE
"Ran_Ab132","13",439,"ALLRICH_LOG",-0.0186800635663768,FALSE
"Ran_Ab133","13",439,"HERBEVEN_LOGIT",0.116778069645072,FALSE
"Ran_Ab134","13",439,"HERBRICH_LOG",-0.0195259728290117,FALSE
"Ran_Ab135","13",439,"TREEEVEN_LOGIT",0.0877314647560891,TRUE
"Ran_Ab136","13",439,"TREERICH_LOG",-0.0157513398397234,TRUE
"Ran_Ab141","14",609,"ALLEVEN_LOGIT",0.0844843806284016,TRUE
"Ran_Ab142","14",609,"ALLRICH_LOG",-0.0794593504175765,FALSE
